,Barcelona,Belgrade,Berlin,Brussels,Bucharest,Budapest,Copenhagen,Dublin,Paris,Lisbon,Madrid,Cologne,Bern,Amsterdam,London,Manchester,Oslo,Rome,Sicily,Montpellier,Zurich,Vienna,Athina
Barcelona,0.0,1532.5869988592538,1499.6969001148427,1065.1331518679824,1975.6166886438098,1500.3231887270856,1761.5977434172187,1472.8084384954107,830.6971722716346,1009.2747863647738,506.92201575011705,1123.916378135834,748.172027594447,1239.157617514247,1139.1266046433639,1384.9042736083509,2144.220744796988,859.9883684888879,1112.034121351679,284.20962518978155,836.1977163510409,1351.9576746358973,1881.666667333538
Belgrade,1532.5869988592538,0.0,1000.9355738316285,1375.356081190508,449.9523059112461,317.3846771930872,1331.4027461595922,2152.7926143570867,1448.2118235579426,2537.0762217851343,2033.3703139024472,1214.5890080543318,1035.6279498912102,1417.5176465346485,1694.5291983022867,1903.6217227299592,1800.9725336572803,723.0478729331425,960.6154236273707,1329.4501522698142,962.978105169505,490.04907737670965,806.5684095364226
Berlin,1499.6969001148427,1000.9355738316285,0.0,651.5872154955998,1296.9015620867576,689.2823693431942,356.84344257392274,1320.2646537442004,878.6055241490449,2315.2578170858515,1870.3709669928712,477.45412285010656,752.3342172788999,577.2116085663197,933.410764122098,1052.899589968777,839.6102226167419,1183.0545335767736,1660.2015684591515,1215.6458118158828,669.3215705158691,524.0811741009716,1803.368360263641
Brussels,1065.1331518679824,1375.356081190508,651.5872154955998,0.0,1774.4865472437543,1131.6532145875096,767.7104586825625,777.8021115872504,263.9481245805966,1714.6220468851493,1316.6087396539097,183.79223267253568,489.37660380718,174.16266654153665,321.69556840941044,537.736247842579,1086.3662004374162,1173.946222892507,1665.2218511736085,805.1865958620913,492.6721302241396,917.1426656598894,2091.4637927867643
Bucharest,1975.6166886438098,449.9523059112461,1296.9015620867576,1774.4865472437543,0.0,644.1957173805794,1576.833172720938,2544.149384877097,1874.937450904204,2982.7788132175942,2478.927184142563,1602.2639565904556,1475.6509716051369,1791.447677928997,2096.179333592457,2286.108026745549,2006.4628353703658,1141.5505879953614,1258.1735026101321,1778.8230538968419,1397.8731831058274,857.766731204305,743.6149704940531
Budapest,1500.3231887270856,317.3846771930872,689.2823693431942,1131.6532145875096,644.1957173805794,0.0,1014.3570069128401,1899.9548173620483,1247.733556912267,2475.371708947664,1978.4687482140232,958.1679067608884,879.0425016263116,1148.3220769363313,1453.2684693169017,1642.349679600118,1483.8051147076735,810.6340673414192,1171.1434635935439,1257.8346144607774,791.4594235879116,214.68555931301404,1123.8974170525273
Copenhagen,1761.5977434172187,1331.4027461595922,356.84344257392274,767.7104586825625,1576.833172720938,1014.3570069128401,0.0,1242.7250527031372,1029.5048858542332,2482.2411278868863,2075.553932511665,646.912588917266,1034.908946767638,622.8448469104699,958.7495249710555,986.7318467236514,483.1047682624403,1533.9085360614795,2015.4600976397278,1479.8436489731325,965.9215732912429,871.8583376524236,2137.8861052425445
Dublin,1472.8084384954107,2152.7926143570867,1320.2646537442004,777.8021115872504,2544.149384877097,1899.9548173620483,1242.7250527031372,0.0,782.4532598610783,1642.2939325939046,1450.644756385354,942.3754319293189,1208.081021298456,758.5095275414438,464.59160196048265,267.3978761133022,1267.9133608274494,1888.7261738553284,2353.2114417864955,1314.1460613472836,1241.9670993943935,1686.9972378260927,2859.5863288356763
Paris,830.6971722716346,1448.2118235579426,878.6055241490449,263.9481245805966,1874.937450904204,1247.733556912267,1029.5048858542332,782.4532598610783,0.0,1454.9652939825187,1052.9427739766018,403.91852345093537,436.23216325962153,430.7770861119735,343.88342053593993,606.1647564030416,1343.4903625971021,1106.6691910188874,1573.0950409450659,594.7698394363189,489.4462690844017,1036.5387663207453,2099.0875114621854
Lisbon,1009.2747863647738,2537.0762217851343,2315.2578170858515,1714.6220468851493,2982.7788132175942,2475.371708947664,2482.2411278868863,1642.2939325939046,1454.9652939825187,0.0,503.8522560730657,1854.2380486931534,1631.0749278523165,1866.024900031568,1586.5352827871186,1724.23157882885,2741.686486624537,1866.523467825674,2039.9257839151983,1218.556990261673,1726.2351858176312,2303.614948740898,2858.581441490288
Madrid,506.92201575011705,2033.3703139024472,1870.3709669928712,1316.6087396539097,2478.927184142563,1978.4687482140232,2075.553932511665,1450.644756385354,1052.9427739766018,503.8522560730657,0.0,1431.340300221416,1153.7605178750548,1482.2810947854996,1263.1019239132645,1456.3063388684006,2389.4327281581923,1366.4466723673895,1575.633691395156,720.797882954806,1248.6582870022178,1813.022482744165,2375.2890519372995
Cologne,1123.916378135834,1214.5890080543318,477.45412285010656,183.79223267253568,1602.2639565904556,958.1679067608884,646.912588917266,942.3754319293189,403.91852345093537,1854.2380486931534,1431.340300221416,0.0,445.18748105881923,214.2135462814172,498.97523658871415,689.1049471580617,1027.0066968172205,1090.6475291724173,1588.967716843489,847.1462932343071,413.00906007793026,744.7249558813394,1953.7052117749029
Bern,748.172027594447,1035.6279498912102,752.3342172788999,489.37660380718,1475.6509716051369,879.0425016263116,1034.908946767638,1208.081021298456,436.23216325962153,1631.0749278523165,1153.7605178750548,445.18748105881923,0.0,630.9453777561223,748.8425854734577,1001.6022283188505,1458.9111229138002,689.6489475134066,1176.6159421535551,464.8753112201891,95.21243037631325,685.1875194014104,1662.8556133816357
Amsterdam,1239.157617514247,1417.5176465346485,577.2116085663197,174.16266654153665,1791.447677928997,1148.3220769363313,622.8448469104699,758.5095275414438,430.7770861119735,1866.024900031568,1482.2810947854996,214.2135462814172,630.9453777561223,0.0,358.7364598926698,495.5527124366242,913.7126553980457,1297.8746456360407,1794.7039318573422,977.340157059699,614.7641745499326,938.33824373003,2166.0013455318763
London,1139.1266046433639,1694.5291983022867,933.410764122098,321.69556840941044,2096.179333592457,1453.2684693169017,958.7495249710555,464.59160196048265,343.88342053593993,1586.5352827871186,1263.1019239132645,498.97523658871415,748.8425854734577,358.7364598926698,0.0,262.28592009050976,1155.5338952089626,1435.5520943189065,1911.1585273987682,927.8175179183582,778.1751494653709,1238.8047757636766,2395.0466154175815
Manchester,1384.9042736083509,1903.6217227299592,1052.899589968777,537.736247842579,2286.108026745549,1642.349679600118,986.7318467236514,267.3978761133022,606.1647564030416,1724.23157882885,1456.3063388684006,689.1049471580617,1001.6022283188505,495.5527124366242,262.28592009050976,0.0,1067.1748677244339,1690.80586381274,2170.500781105168,1185.6570592786074,1022.2097495364427,1430.8418921200546,2629.1998285980158
Oslo,2144.220744796988,1800.9725336572803,839.6102226167419,1086.3662004374162,2006.4628353703658,1483.8051147076735,483.1047682624403,1267.9133608274494,1343.4903625971021,2741.686486624537,2389.4327281581923,1027.0066968172205,1458.9111229138002,913.7126553980457,1155.5338952089626,1067.1748677244339,0.0,2008.1990383284733,2494.543598974959,1872.2231943350669,1403.1053985544445,1352.8251289822067,2606.6648131239554
Rome,859.9883684888879,723.0478729331425,1183.0545335767736,1173.946222892507,1141.5505879953614,810.6340673414192,1533.9085360614795,1888.7261738553284,1106.6691910188874,1866.523467825674,1366.4466723673895,1090.6475291724173,689.6489475134066,1297.8746456360407,1435.5520943189065,1690.80586381274,2008.1990383284733,0.0,499.0351272094462,729.5725499668325,684.2287719123227,765.5192556066233,1053.4726048626899
Sicily,1112.034121351679,960.6154236273707,1660.2015684591515,1665.2218511736085,1258.1735026101321,1171.1434635935439,2015.4600976397278,2353.2114417864955,1573.0950409450659,2039.9257839151983,1575.633691395156,1588.967716843489,1176.6159421535551,1794.7039318573422,1911.1585273987682,2170.500781105168,2494.543598974959,499.0351272094462,0.0,1095.9794070599114,1180.0170702192627,1193.5259652969687,844.0260778525652
Montpellier,284.20962518978155,1329.4501522698142,1215.6458118158828,805.1865958620913,1778.8230538968419,1257.8346144607774,1479.8436489731325,1314.1460613472836,594.7698394363189,1218.556990261673,720.797882954806,847.1462932343071,464.8753112201891,977.340157059699,927.8175179183582,1185.6570592786074,1872.2231943350669,729.5725499668325,1095.9794070599114,0.0,554.5424193367247,1094.0937433645493,1782.6119929293436
Zurich,836.1977163510409,962.978105169505,669.3215705158691,492.6721302241396,1397.8731831058274,791.4594235879116,965.9215732912429,1241.9670993943935,489.4462690844017,1726.2351858176312,1248.6582870022178,413.00906007793026,95.21243037631325,614.7641745499326,778.1751494653709,1022.2097495364427,1403.1053985544445,684.2287719123227,1180.0170702192627,554.5424193367247,0.0,593.7388415025353,1618.7650269208093
Vienna,1351.9576746358973,490.04907737670965,524.0811741009716,917.1426656598894,857.766731204305,214.68555931301404,871.8583376524236,1686.9972378260927,1036.5387663207453,2303.614948740898,1813.022482744165,744.7249558813394,685.1875194014104,938.33824373003,1238.8047757636766,1430.8418921200546,1352.8251289822067,765.5192556066233,1193.5259652969687,1094.0937433645493,593.7388415025353,0.0,1282.607015217359
Athina,1881.666667333538,806.5684095364226,1803.368360263641,2091.4637927867643,743.6149704940531,1123.8974170525273,2137.8861052425445,2859.5863288356763,2099.0875114621854,2858.581441490288,2375.2890519372995,1953.7052117749029,1662.8556133816357,2166.0013455318763,2395.0466154175815,2629.1998285980158,2606.6648131239554,1053.4726048626899,844.0260778525652,1782.6119929293436,1618.7650269208093,1282.607015217349,0.0
